stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\practises\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.08813] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08821] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08843] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08851] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08860] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08869] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08877] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08886] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08900] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08913] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08925] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08938] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08950] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08960] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08969] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08978] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.08987] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.08995] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09003] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09012] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09021] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09029] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09051] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09059] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09067] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09075] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09083] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09091] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09099] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09107] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09115] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09122] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09131] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09139] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09147] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09155] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09163] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09173] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09181] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09189] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09197] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09204] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09213] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09229] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09237] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09245] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09261] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09268] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.09277] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.09285] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09293] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09301] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09309] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09317] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09325] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09334] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09342] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09350] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09358] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.09366] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.09374] Single Buffer requirement not met.
