stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Project\x\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.14922] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14937] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.14973] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.14989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15004] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15030] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15046] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15062] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15077] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15092] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15131] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15149] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15164] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15197] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15220] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15249] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15274] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15300] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15327] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.15353] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.15378] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15418] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15435] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15451] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15466] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15481] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15496] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15512] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.15526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.15542] Score is : 769
